Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Geodézia I.;BMEEOAFAT45;3;1;0;2;0;Félévközi;1;Torzs;-
Építőmérnöki kémia;BMEEOEMAT41;2;2;0;0;0;Félévközi;1;Torzs;-
Építőmérnöki ábrázolás;BMEEOEMAT42;4;2;2;0;0;Félévközi;1;Torzs;-
Építőmérnöki CAD;BMEEOFTAT41;2;0;0;2;0;Félévközi;1;Torzs;-
Geológia;BMEEOGMAT41;3;1;0;2;0;Vizsga;1;Torzs;-
A statika és dinamika alapjai;BMEEOTMAT41;6;0;5;0;0;Vizsga;1;Torzs;-
Matematika A1a;BMETE90AX00;6;4;2;0;0;Vizsga;1;Torzs;-
Építőmérnöki fizika;BMETE11AX13;2;2;0;0;0;Félévközi;1;Torzs;-
Geodézia II.;BMEEOAFAT42;4;2;0;2;0;Vizsga;2;Torzs;BMEEOAFAT41~,BMEEOAFAT45~,
Építőanyagok I.;BMEEOEMAT43;5;2;0;2;0;Vizsga;2;Torzs;BMEEOEMAT41,
Építőmérnöki informatika;BMEEOFTAT42;5;2;2;0;0;Félévközi;2;Torzs;-
Magasépítéstan alapjai;BMEEOEMAT44;3;1;2;0;0;Félévközi;2;Torzs;BMEEOEMAT42,
Elemi szilárdságtan;BMEEOTMAT42;6;0;5;0;0;Félévközi;2;Torzs;BMEEOTMAT41,BMETE90AX00~,
Hidraulika I.;BMEEOVVAT42;3;2;1;0;0;Vizsga;2;Torzs;-
Matematika A2a;BMETE90AX02;6;4;2;0;0;Vizsga;2;Torzs;BMETE90AX00,
Testnevelés BSc 1/A;BMEGT70BS1A;0;0;2;0;0;Aláírás;2;Torzs;-
Geodézia mérőgyakorlat;BMEEOAFAT43;3;0;0;0;0;Félévközi;3;Torzs;BMEEOAFAT42!~,
Talajmechanika;BMEEOGMAT42;4;2;2;0;0;Félévközi;3;Torzs;BMEEOGMAT41,BMEEOTMAT42,
Térinformatika;BMEEOFTAT43;3;2;0;1;0;Félévközi;3;Torzs;-
Tartószerkezetek méretezésének alapjai;BMEEOHSAT41;3;2;0;0;0;Félévközi;3;Torzs;BMEEOTMAT41,
Tartók statikája I.;BMEEOTMAT43;4;4;0;0;0;Vizsga;3;Torzs;BMEEOTMAT42,BMETE90AX00,
Vasúti pályák;BMEEOUVAT41;3;3;0;0;0;Vizsga;3;Torzs;-
Környezetmérnöki alapok;BMEEOVKAT41;3;2;0;0;0;Félévközi;3;Torzs;-
Közművek I.;BMEEOVKAT42;3;2;1;0;0;Vizsga;3;Torzs;BMEEOVVAT42,
Hidrológia I.;BMEEOVVAT41;3;1;1;0;0;Félévközi;3;Torzs;-
Matematika A3 építömérnököknek;BMETE90AX07;4;2;2;0;0;Vizsga;3;Torzs;BMETE90AX02,
Testnevelés BSc 2/A;BMEGT70BS2A;0;0;2;0;0;Aláírás;3;Torzs;-
Földművek;BMEEOGMAT43;3;2;1;0;0;Vizsga;4;Torzs;BMEEOGMAT42,
Acélszerkezetek;BMEEOHSAT42;3;3;0;0;0;Félévközi;4;Torzs;BMEEOTMAT42,BMEEOEMAT43~,BMEEOHSAT41,
Vasbetonszerkezetek;BMEEOHSAT43;3;3;0;0;0;Félévközi;4;Torzs;BMEEOTMAT42,BMEEOEMAT43~,BMEEOHSAT41,
Utak;BMEEOUVAT42;2;2;0;0;0;Félévközi;4;Torzs;BMEEOUVAT41,
Vízépítés, vízgazdálkodás;BMEEOVVAT43;3;2;1;0;0;Vizsga;4;Torzs;BMEEOVVAT41,BMEEOVVAT42,
Építőmérnöki kommunikációs készs.-B2;BMEGT60Z913;2;0;2;0;0;Félévközi;4;Torzs;-
Üzleti jog;BMEGT55A001;2;2;0;0;0;Félévközi;4;Torzs;-
Alapozás;BMEEOGMAT45;4;2;1;0;0;Vizsga;5;Torzs;BMEEOGMAT43,
Menedzsment és vállalkozásgazdaságtan;BMEGT20A001;4;4;0;0;0;Félévközi;5;Torzs;-
Mikro- és makroökonómia;BMEGT30A001;4;4;0;0;0;Vizsga;6;Torzs;-
Építési projektek szervezése;BMEEPEKAT41;3;2;1;0;0;Félévközi;6;Torzs;BMEEOEMAT44,BMEEOGMAT42,
Település- és régiófejlesztés;BMEEOUVAT43;3;2;0;0;0;Félévközi;7;Torzs;-
Szabadon választható 1;-;2;2;0;0;0;Félévközi/Vizsga;7;Torzs;-
Szabadon választható 2;-;2;2;0;0;0;Félévközi/Vizsga;7;Torzs;-
Szabadon választható 3;-;2;2;0;0;0;Félévközi/Vizsga;7;Torzs;-
Szabadon választható 4;-;2;2;0;0;0;Félévközi/Vizsga;8;Torzs;-
Szabadon választható 5;-;2;2;0;0;0;Félévközi/Vizsga;8;Torzs;-
Szabadon választható 6;-;2;2;0;0;0;Félévközi/Vizsga;8;Torzs;-
Magasépítéstan I.;BMEEOEMAS42;3;1;2;0;0;Vizsga;4;Agazat_szerkezet;BMEEOEMAT44,
Faszerkezetek;BMEEOHSAS44;3;2;0;0;0;Félévközi;4;Agazat_szerkezet;BMEEOTMAT42,BMEEOHSAT41,
Általános szilárdságtan;BMEEOTMAS41;3;2;0;0;0;Vizsga;4;Agazat_szerkezet;BMEEOTMAT43,
Építőanyagok II.;BMEEOEMAS41;3;1;0;2;0;Vizsga;5;Agazat_szerkezet;BMEEOEMAT43,
Magasépítéstan II.;BMEEOEMAS43;3;1;2;0;0;Vizsga;5;Agazat_szerkezet;BMEEOEMAS42,
Acél- és öszvérszerkezetek;BMEEOHSAS47;4;3;0;0;0;Félévközi;5;Agazat_szerkezet;BMEEOHSAT42,BMEEOHSAT43,
Vasbeton- és falszerkezetek;BMEEOHSAS42;4;2;1;0;0;Félévközi;5;Agazat_szerkezet;BMEEOHSAT43,BMEEOEMAS42,
Hidak és infrastruktúra szerkezetek;BMEEOHSAS43;3;2;0;0;0;Vizsga;5;Agazat_szerkezet;BMEEOHSAT42,BMEEOHSAT43,
Szerkezet és anyagvizsgáló laborgyakorlat;BMEEOHSAS46;2;0;0;4;0;Félévközi;5;Agazat_szerkezet;BMEEOHSAT42,BMEEOHSAT43,
Tartók statikája II.;BMEEOTMAS42;4;3;1;0;0;Félévközi;5;Agazat_szerkezet;BMEEOTMAS41,BMETE90AX07,
Kőzetmechanika;BMEEOGMAS41;3;1;1;0;0;Félévközi;6;Agazat_szerkezet;BMEEOGMAT41,
Földalatti műtárgyak, mélyalapozás;BMEEOGMAS42;3;2;1;0;0;Félévközi;6;Agazat_szerkezet;BMEEOGMAT45,
3D szerkezetkonstruálás;BMEEOHSAS45;3;0;2;0;0;Félévközi;6;Agazat_szerkezet;BMEEOHSAT42,BMEEOHSAT43,
Szerkezettervezés projektfeladat;BMEEODHAS41;6;0;0;0;2;Félévközi;6;Agazat_szerkezet;BMEEOHSAS47,BMEEOHSAS42,BMEEOGMAT45,
Közigazgatástan, ingatlan nyilvántartás;BMEEOUVAT44;3;2;0;0;0;Félévközi;7;Agazat_szerkezet;-
Szerkezetek geodéziája mérőgyak.;BMEEOAFAS42;1;0;0;2;0;Félévközi;7;Agazat_szerkezet;BMEEOAFAT43!,BMEEOEMAT44,
