Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Matematika A1a;TE90AX00;6;4;2;0;0;Vizsga;1;Torzs;-
Fizika K;TE15AX17;3;2;0;0;0;Vizsga;1;Torzs;-
Műszaki kémia;VEKTAKO1;3;2;0;1;0;Vizsga;1;Torzs;-
JKL rendszerek;KOVRA189;3;4;0;0;0;Félévközi jegy;1;Torzs;-
Mérnöki alapismeretek;KOVRA190;4;2;0;1;0;Vizsga;1;Torzs;-
Programozás;KOKAA146;7;2;0;4;0;Félévközi jegy;1;Torzs;-
Műszaki ábrázolás 1.;KOJSA498;6;2;3;0;0;Félévközi jegy;1;Torzs;-
Matematika A2a;TE90AX02;6;4;2;0;0;Vizsga;2;Torzs;TE90AX00,
Anyagismeret;KOJJA106;4;2;0;2;0;Vizsga;2;Torzs;VEKTAKO1$,
Mechanika 1;KOJSA191;5;2;3;0;0;Vizsga;2;Torzs;KOVRA190$,
Elektrotechnika - Elektronika;KOKAA139;6;3;2;0;0;Vizsga;2;Torzs;TE15AX17,
Műszaki ábrázolás 2.;KOJSA499;5;2;3;0;0;Félévközi jegy;2;Torzs;KOJSA498,
Szabadon választható 1;-;2;2;0;0;0;Félévközi jegy;2;Torzs;-
Matematika A3k;TE90AX53;4;2;2;0;0;Vizsga;3;Torzs;TE90AX02,
Mechanika 2;EOTMAK02;4;2;2;0;0;Vizsga;3;Torzs;KOJSA191,TE90AX00,
Szerkezetek statikája;KOJSA192;2;0;2;0;0;Félévközi jegy;3;Torzs;KOJSA191,
Hő- és áramlástan 1.;KOVRA194;3;1;1;1;0;Vizsga;3;Torzs;KOVRA190$,TE90AX02$,TE90AX53$,
Jármű- és hajtáselemek 1.;KOJSA493;4;1;2;0;0;Vizsga;3;Torzs;KOJSA499,
Mérnöki számítások;KOVRA431;3;1;0;1;0;Félévközi jegy;3;Torzs;TE90AX00,TE90AX02$,
Járműszerkezeti anyaggok és technológiák;KOGJA450;6;4;0;2;0;Félévközi jegy;3;Torzs;KOJJA106,
Szabadon választható 2;-;2;2;0;0;0;Félévközi jegy;3;Torzs;-
Hő- és áramlástan 2.;KOVRA195;4;2;0;1;0;Vizsga;4;Torzs;KOVRA194,KOVRA190$,TE90AX53$,
Járműmérnöki mechanika ;KOJSA595;3;2;2;0;0;Vizsga;4;Torzs;KOJSA191,
