Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Matematika A1a;TE90AX00;6;4;2;0;0;Vizsga;1;Torzs;-
Fizika K;TE15AX17;3;2;0;0;0;Vizsga;1;Torzs;-
Műszaki kémia;VEKTAKO1;3;2;0;1;0;Vizsga;1;Torzs;-
JKL rendszerek;KOVRA189;3;4;0;0;0;Félévközi jegy;1;Torzs;-
Mérnöki alapismeretek;KOVRA190;4;2;0;1;0;Vizsga;1;Torzs;-
Programozás;KOKAA146;7;2;0;4;0;Félévközi jegy;1;Torzs;-
Közlekedésföldrajz;KOKKA184;4;2;1;0;0;Félévközi jegy;1;Torzs;-
Matematika A2a;TE90AX02;6;4;2;0;0;Vizsga;2;Torzs;TE90AX00,
Anyagismeret;KOJJA106;4;2;0;2;0;Vizsga;2;Torzs;VEKTAKO1$,
Mechanika 1;KOJSA191;5;2;3;0;0;Vizsga;2;Torzs;KOVRA190$,
Elektrotechnika - Elektronika;KOKAA139;6;3;2;0;0;Vizsga;2;Torzs;TE15AX17,
Műszaki ábrázolás alapjai;KOJSA187;5;2;2;0;0;Félévközi jegy;2;Torzs;-
Mikro- és makroökonómia;GT30A400;4;3;0;0;0;Félévközi jegy;2;Torzs;-
Matematika A3k;TE90AX53;4;2;2;0;0;Vizsga;3;Torzs;TE90AX02,
Mechanika 2;EOTMAK02;4;2;2;0;0;Vizsga;3;Torzs;KOJSA191,TE90AX00,
Hő- és áramlástan 1.;KOVRA194;3;1;1;1;0;Vizsga;3;Torzs;KOVRA190$,TE90AX02$,TE90AX53$,
Logikai hálózatok;KOKAA137;3;2;1;0;0;Félévközi jegy;3;Torzs;KOKAA139~,KOKAA146$,
Anyagtechnológia, járműfenntartás;KOGJA254;4;2;1;0;0;Félévközi jegy;3;Torzs;KOJJA106,
Számítógépes ábrázolás alapjai;KOJSA188;3;0;0;3;0;Félévközi jegy;3;Torzs;KOJSA187,
Közlekedési pályák;KOKKA238;3;2;0;0;0;Félévközi jegy;3;Torzs;-
Menedzsment és vállalkozás gazdaságtan;KOKGA109;4;3;0;0;0;Félévközi jegy;3;Torzs;-
Szabadon választható 1;-;2;2;0;0;0;Félévközi jegy;3;Torzs;-
Számítógépes műszaki alkalmazás;KOKAA270;3;1;1;0;0;Félévközi jegy;4;Torzs;KOKAA146,
Közlekedésstatisztika;KOKKA186;5;1;2;1;0;Félévközi jegy;4;Torzs;TE90AX53$,
