Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Matematika A1a;TE90AX00;6;4;2;0;0;Vizsga;1;Torzs;-
Fizika K;TE15AX17;3;2;0;0;0;Vizsga;1;Torzs;-
Műszaki kémia;VEKTAKO1;3;2;0;1;0;Vizsga;1;Torzs;-
JKL rendszerek;KOVRA189;3;4;0;0;0;Félévközi jegy;1;Torzs;-
Mérnöki alapismeretek;KOVRA190;4;2;0;1;0;Vizsga;1;Torzs;-
Programozás;KOKAA146;7;2;0;4;0;Félévközi jegy;1;Torzs;-
Közlekedésföldrajz;KOKKA184;4;2;1;0;0;Félévközi jegy;1;Torzs;-
Matematika A2a;TE90AX02;6;4;2;0;0;Vizsga;2;Torzs;TE90AX00,
Anyagismeret;KOJJA106;4;2;0;2;0;Vizsga;2;Torzs;VEKTAKO1$,
Mechanika 1;KOJSA191;5;2;3;0;0;Vizsga;2;Torzs;KOVRA190$,
Elektrotechnika - Elektronika;KOKAA139;6;3;2;0;0;Vizsga;2;Torzs;TE15AX17,
Műszaki ábrázolás alapjai;KOJSA187;5;2;2;0;0;Félévközi jegy;2;Torzs;-
Mikro- és makroökonómia;GT30A400;4;3;0;0;0;Félévközi jegy;2;Torzs;-
Matematika A3k;TE90AX53;4;2;2;0;0;Vizsga;3;Torzs;TE90AX02,
Mechanika 2;EOTMAK02;4;2;2;0;0;Vizsga;3;Torzs;KOJSA191,TE90AX00,
Hő- és áramlástan 1.;KOVRA194;3;1;1;1;0;Vizsga;3;Torzs;KOVRA190$,TE90AX02$,TE90AX53$,
Anyagtechnológia, ipari gyártórendszerek;KOGJA334;4;2;1;0;0;Félévközi jegy;3;Torzs;KOJJA106,
Számítógépes ábrázolás alapjai;KOJSA188;3;0;0;3;0;Félévközi jegy;3;Torzs;KOJSA187,
Logisztikai adatbázis rendszerek;KOALA340;5;2;0;2;0;Vizsga;3;Torzs;KOKAA146,
Csomagolástechnika;KOKUA620;3;1;1;0;0;Félévközi jegy;3;Torzs;-
Menedzsment és vállalkozás gazdaságtan;KOKGA109;4;3;0;0;0;Félévközi jegy;3;Torzs;-
Irányítástechnika;KOKAA138;3;2;1;0;0;Vizsga;4;Torzs;KOKAA146,KOKAA139~,TE90AX53$,
Logisztikai információs rendszerek;KOALA333;5;2;0;2;0;Vizsga;4;Torzs;KOALA340,
Logisztikai identifikációs rendszerek ;KOALA330;5;2;0;2;0;Félévközi jegy;4;Torzs;KOKAA139~,
Szállítási logisztika;KOALA332;5;3;1;1;0;Vizsga;4;Torzs;KOKKA184,KOKUA620,
Szállítmányozás alapjai;KOKKA331;4;2;1;0;0;Vizsga;4;Torzs;-
Üzemszervezéstan alapjai;KOALA196;4;2;1;0;0;Félévközi jegy;4;Torzs;KOGJA334$,KOKGA109$,
Logisztikai menedzsment;KOKKA197;2;2;0;0;0;Félévözi jegy;4;Torzs;-
Üzleti jog;GT55A001;2;2;0;0;0;Félévközi jegy;4;Torzs;-
Statisztikai elemzések a logisztikában;KOALA617;5;2;2;1;0;Vizsga;5;Torzs;TE90AX53,
Beveztés a lean szemléletbe;KOALA609;4;1;2;0;0;Félévközi jegy;5;Torzs;KOALA196,KOKGA109,
Munkavédelem;KOEAA111;2;2;0;0;0;Félévközi jegy;5;Torzs;-
Szabadon választható 1;-;2;2;0;0;0;Félévközi jegy;5;Torzs;-
Szabadon választható 2;-;2;2;0;0;0;Félévközi jegy;5;Torzs;-
Anyagmozgató gépek és eszközök;KOALA336;5;2;1;1;0;Félévközi jegy;5;Torzs;KOJSA191,
Termelési logisztika;KOALA327;5;2;1;1;0;Vizsga;5;Torzs;KOALA196,KOALA333$,
Ellátási-elosztási rendszerek;KOALA335;5;2;1;1;0;Vizsga;5;Torzs;KOKKA197,KOALA332$,KOALA333$,
Operációkutatás és döntéstámogatás;KOALA339;7;2;2;2;0;Vizsga;6;Torzs;TE90AX53,KOALA617$,
Minőségügy;KOGJA148;2;2;0;0;0;Félévközi jegy;6;Torzs;-
Köt. Vál. GH (BSc);GTK01;2;2;0;0;0;Félévközi jegy;6;Torzs;-
Köt. Vál. GH (BSc);GTK02;2;2;0;0;0;Félévközi jegy;6;Torzs;-
Szabadon választható 3;-;2;2;0;0;0;Félévközi jegy;6;Torzs;-
Anyagmozgatási és raktározási folyamatok;KOALA338;5;2;1;1;0;Vizsga;6;Torzs;KOALA335,KOALA336,
Logisztikai rendszerek automatizálása;KOALA341;5;2;0;2;0;Vizsga;6;Torzs;KOKAA139,
Logisztikai projektirányítás;KOALA328;5;1;4;0;0;Félévközi jegy;6;Torzs;KOALA327,KOALA332,KOALA335,
Szabadon választható 4;-;2;2;0;0;0;Félévközi jegy;7;Torzs;-
Szabadon választható 5;-5;2;2;0;0;0;Félévközi jegy;7;Torzs;-
Logisztikai projektek;KOALA329;11;0;11;0;0;Félévközi jegy;7;Torzs;KOALA328,KOALA341,KOALA338,
Szakdolgozat;-;15;0;8;0;0;Vizsga;7;Torzs;-
Jelmagyarázat:;;;;;;;;;;
Aláírás elegendő;~;;;;;;;;;
Ajánlott előkövetelmény;$;;;;;;;;;
Azonos félévben felvehető;!;;;;;;;;;
