Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Mathematics G1;BMETE93BG01;6;4;2;0;0;Exam;1;Torzs;-
Technical Chemistry;BMEVEKFBs6AP1MK-01;3;2;0;0;0;Exam;1;Torzs;-
Introduction to Mechanincal Engineering;BMEGEHDBSXIMEA-01;4;2;1;1;0;Exam;1;Torzs;-
Communication I.;BMEGEENBSXCOM1-01;4;4;0;0;0;Exam;1;Torzs;-
Informatics;BMEKOKJBsP1001-00;4;2;0;2;0;Mid-Term;1;Torzs;-
Engineering Drawing 1.;BMEKOJSA498;6;2;3;0;0;Mid-Term;1;Torzs;-
Basics of Aviation I.;BMEKORHBsP1001-00;4;2;2;0;0;Mid-Term;1;Torzs;-
Mathematics G2;BMETE93BG02;6;4;2;0;0;Exam;2;Torzs;BMETE93BG01~,
Mechanics 1;BMEKOJSA191;5;2;3;0;0;Exam;2;Torzs;BMEGEVGBG01$,
Electrotechnics – Electronics;BMEKOKAA139;6;3;2;0;0;Exam;2;Torzs;-
Engineering Drawing 2.;BMEKOJSA499;5;2;3;0;0;Mid-Term;2;Torzs;BMEKOJSA498,
Air Law and ATC Procedures;BMEKORHBsP2001-00;4;2;2;0;0;Exam;2;Torzs;-
Basics of Aviation II;BMEKORHBsP2002-00;4;2;2;0;0;Mid-Term;2;Torzs;-
Mathematics G3k;BMETEMIBSGMAT3-00;4;2;2;0;0;Exam;3;Torzs;BMETE93BG02~,
Mechanics 2A;BMEKOVJBsP3001-00;4;3;2;0;0;Mid-Term;3;Torzs;BMEKOJSA191,BMETE93BG01,
Fluid Dynamics, Thermodynamics and Heat Transfer 1;BMEKORHBsP3001-00;3;1;1;0;0;Exam;3;Torzs;BMETE94BG02,
Statics of Structures;BMEKOJSA192;2;0;2;0;0;Mid-Term;3;Torzs;BMEKOJSA191,
Materials and manufacturing;BMEKOGJBsP3001-00;4;4;0;0;0;Mid-Term;3;Torzs;-
Vehicle and Drive Elements 1;BMEKOJSA493;4;1;2;0;0;Exam;3;Torzs;BMEKOJSA499,
Principles of Flight;BMEKORHBsP3002-00;4;2;2;0;0;Mid-Term;3;Torzs;-
